plan,cut_edges,polsby_popper,density_score,pop_dev,contiguous
271,20.0,0.43633231299858244,0.6,0.0,1.0
272,20.0,0.43633231299858244,0.7,0.0,1.0
273,20.0,0.43633231299858244,0.6,0.0,1.0
274,20.0,0.43633231299858244,0.6,0.0,1.0
275,19.0,0.4747295565424577,0.7,0.0,1.0
276,20.0,0.43633231299858244,0.7,0.0,1.0
277,19.0,0.4747295565424577,0.7,0.0,1.0
278,18.0,0.5131268000863329,0.65,0.0,1.0
279,19.0,0.4747295565424576,0.65,0.0,1.0
280,20.0,0.43633231299858244,0.6,0.0,1.0
281,19.0,0.4747295565424576,0.6,0.0,1.0
282,17.0,0.5515240436302081,0.6,0.0,1.0
283,19.0,0.4747295565424576,0.6,0.0,1.0
284,20.0,0.43633231299858244,0.6,0.0,1.0
285,18.0,0.5131268000863329,0.55,0.0,1.0
286,20.0,0.43633231299858244,0.55,0.0,1.0
287,19.0,0.4747295565424576,0.55,0.0,1.0
288,18.0,0.5131268000863328,0.7,0.0,1.0
289,17.0,0.5515240436302081,0.65,0.0,1.0
290,18.0,0.5131268000863328,0.65,0.0,1.0
291,19.0,0.4747295565424576,0.7,0.0,1.0
292,19.0,0.4747295565424576,0.6,0.0,1.0
293,19.0,0.4747295565424577,0.55,0.0,1.0
294,19.0,0.4747295565424577,0.65,0.0,1.0
295,20.0,0.43633231299858244,0.6,0.0,1.0
296,19.0,0.4747295565424576,0.6,0.0,1.0
297,19.0,0.4747295565424577,0.65,0.0,1.0
298,19.0,0.4747295565424577,0.55,0.0,1.0
299,20.0,0.43633231299858244,0.55,0.0,1.0
300,19.0,0.4747295565424577,0.55,0.0,1.0
301,19.0,0.4747295565424576,0.65,0.0,1.0
302,18.0,0.5131268000863328,0.6,0.0,1.0
303,18.0,0.5131268000863328,0.6,0.0,1.0
304,20.0,0.43633231299858244,0.6,0.0,1.0
305,19.0,0.4747295565424577,0.6,0.0,1.0
306,19.0,0.4747295565424576,0.55,0.0,1.0
307,20.0,0.43633231299858244,0.5,0.0,1.0
308,19.0,0.4747295565424577,0.6,0.0,1.0
309,20.0,0.43633231299858244,0.5,0.0,1.0
310,19.0,0.4747295565424576,0.5,0.0,1.0
311,18.0,0.5131268000863328,0.5,0.0,1.0
312,20.0,0.43633231299858244,0.5,0.0,1.0
313,20.0,0.43633231299858244,0.5,0.0,1.0
314,20.0,0.43633231299858244,0.6,0.0,1.0
315,19.0,0.4747295565424576,0.55,0.0,1.0
316,20.0,0.43633231299858244,0.6,0.0,1.0
317,20.0,0.43633231299858244,0.5,0.0,1.0
318,19.0,0.4747295565424576,0.55,0.0,1.0
319,18.0,0.5131268000863328,0.6,0.0,1.0
320,18.0,0.5131268000863328,0.6,0.0,1.0
321,19.0,0.4747295565424576,0.5,0.0,1.0
322,19.0,0.4747295565424577,0.5,0.0,1.0
323,18.0,0.5131268000863329,0.55,0.0,1.0
324,20.0,0.43633231299858244,0.5,0.0,1.0
325,19.0,0.4747295565424576,0.45,0.0,1.0
326,20.0,0.43633231299858244,0.4,0.0,1.0
327,19.0,0.4747295565424577,0.6,0.0,1.0
328,19.0,0.4747295565424576,0.5,0.0,1.0
329,19.0,0.4747295565424576,0.45,0.0,1.0
330,20.0,0.43633231299858244,0.8,0.0,1.0
331,20.0,0.43633231299858244,0.7,0.0,1.0
332,18.0,0.5131268000863329,0.7,0.0,1.0
333,20.0,0.43633231299858244,0.7,0.0,1.0
334,18.0,0.5131268000863328,0.7,0.0,1.0
335,20.0,0.43633231299858244,0.6,0.0,1.0
336,20.0,0.43633231299858244,0.55,0.0,1.0
337,17.0,0.5515240436302081,0.7,0.0,1.0
338,19.0,0.4747295565424577,0.6,0.0,1.0
339,19.0,0.4747295565424577,0.6,0.0,1.0
340,18.0,0.5131268000863328,0.65,0.0,1.0
341,19.0,0.4747295565424576,0.6,0.0,1.0
342,20.0,0.43633231299858244,0.6,0.0,1.0
343,19.0,0.4747295565424576,0.55,0.0,1.0
344,20.0,0.43633231299858244,0.5,0.0,1.0
345,20.0,0.43633231299858244,0.9,0.0,1.0
346,20.0,0.43633231299858244,0.8,0.0,1.0
347,18.0,0.5131268000863329,0.8,0.0,1.0
348,18.0,0.5131268000863329,0.8,0.0,1.0
349,20.0,0.43633231299858244,0.8,0.0,1.0
350,20.0,0.43633231299858244,0.8,0.0,1.0
351,20.0,0.43633231299858244,0.7,0.0,1.0
352,18.0,0.5131268000863329,0.7,0.0,1.0
353,20.0,0.43633231299858244,0.7,0.0,1.0
354,20.0,0.43633231299858244,0.8,0.0,1.0
355,20.0,0.43633231299858244,0.7,0.0,1.0
356,18.0,0.5131268000863329,0.7,0.0,1.0
357,19.0,0.4747295565424576,0.6,0.0,1.0
358,20.0,0.43633231299858244,0.7,0.0,1.0
359,19.0,0.4747295565424577,0.65,0.0,1.0
360,20.0,0.43633231299858244,0.7,0.0,1.0
361,19.0,0.4747295565424577,0.65,0.0,1.0
362,20.0,0.43633231299858244,0.55,0.0,1.0
363,18.0,0.5131268000863329,0.7,0.0,1.0
364,18.0,0.5131268000863329,0.7,0.0,1.0
365,19.0,0.4747295565424576,0.6,0.0,1.0
366,18.0,0.5131268000863328,0.8,0.0,1.0
367,18.0,0.5131268000863328,0.7,0.0,1.0
368,19.0,0.4747295565424576,0.7,0.0,1.0
369,19.0,0.4747295565424576,0.75,0.0,1.0
370,18.0,0.5131268000863328,0.65,0.0,1.0
371,18.0,0.5131268000863328,0.8,0.0,1.0
372,19.0,0.4747295565424576,0.7,0.0,1.0
